id,name,acronym,vendor,domain,level,price_usd,currency_note,duration_min,validity_years,prerequisites,dod_8140,url,description,tags,weight,restricted_to,exam_count,renewal_cost,hands_on
gosi,GIAC Open Source Intelligence,GOSI,GIAC,Cyber Threat Intelligence,intermediate,999,Exam only,180,4,,false,https://www.giac.org/certifications/open-source-intelligence-gosi/,Open source intelligence collection and analysis certification.,cti;osint,5,,1,,false
arcx-cti,arcX Cyber Threat Intelligence 101,CTI 101,arcX,Cyber Threat Intelligence,beginner,0,Free intro course; lifetime access,240,0,,false,https://arcx.io/courses/cyber-threat-intelligence-101,"Free four-hour intro course on cyber threat intelligence with a micro exam, drawn from the arcX PTIA programme.",cti;foundational;free,5,,1,,false
mcsi-cti,MCSI Certified Threat Intelligence Analyst,MCTIA,MCSI,Cyber Threat Intelligence,intermediate,450,Self-paced,,0,,false,https://www.mosse-institute.com/certifications.html,Practical hands-on threat intelligence analyst certification.,cti;hands-on,5,,1,,true
ccsk,Certificate of Cloud Security Knowledge,CCSK,CSA,Cloud/SysOps,intermediate,445,"Exam + chatbot bundle, two attempts, two-year window",120,0,,false,https://cloudsecurityalliance.org/education/ccsk,Vendor-neutral foundational cloud security certificate from CSA.,cloud;vendor-neutral,5,,1,,false
ccak,Certificate of Cloud Auditing Knowledge,CCAK,CSA,GRC,advanced,,Now administered via CSA Labs; pricing varies,120,2,ccsk,false,https://labs.cloudsecurityalliance.org/ccak/,Cloud auditing certificate jointly issued by CSA and ISACA.,cloud;audit,5,,1,,false
cczt,Certificate of Competence in Zero Trust,CCZT,CSA,Security Architecture & Engineering,intermediate,175,"Exam token includes two attempts, two-year window",120,0,,false,https://cloudsecurityalliance.org/education/cczt,Zero trust architecture and implementation certificate.,zero-trust;architecture,5,,1,,false
ccii,Certified Cyber Intelligence Investigator,CCII,McAfee Institute,Cyber Threat Intelligence,intermediate,595,,,2,,false,https://www.mcafeeinstitute.com/products/certified-cyber-intelligence-investigator-ccii,Practical cyber intelligence investigator certification.,cti;investigation,8,,1,,false
csmie,Certified Social Media Intelligence Expert,CSMIE,McAfee Institute,Cyber Threat Intelligence,intermediate,595,,,2,,false,https://www.mcafeeinstitute.com/products/certified-social-media-intelligence-expert-csmie,Social media intelligence and investigation certification.,osint;sociint,7,,1,,false
cei-mcafee,Certified Expert Investigator,CEI,McAfee Institute,Forensics,intermediate,595,,,2,,false,https://www.mcafeeinstitute.com/products/certified-expert-investigator-cei,Investigator and digital evidence handling certification.,forensics;investigation,5,,1,,false
cctia,Certified Counterintelligence Threat Analyst,CCTA,McAfee Institute,Cyber Threat Intelligence,intermediate,595,,,2,,false,https://www.mcafeeinstitute.com/products/certified-counterintelligence-threat-analyst-ccta,Counterintelligence threat analysis certification.,cti,5,,1,,false
cciso,Certified Chief Information Security Officer,CCISO,EC-Council,Security & Risk Management,expert,999,,150,3,,false,https://www.eccouncil.org/programs/certified-chief-information-security-officer-cciso/,Executive-level CISO certification covering five governance domains.,management;executive,10,,1,,false
ec-csa,EC-Council Certified SOC Analyst,CSA,EC-Council,Security Operations,intermediate,400,,180,3,,false,https://www.eccouncil.org/programs/certified-soc-analyst-csa/,"SOC analyst certification covering monitoring, detection and triage.",blue-team;soc,5,,1,,false
ccse,EC-Council Certified Cloud Security Engineer,CCSE,EC-Council,Cloud/SysOps,intermediate,499,,240,3,,false,https://www.eccouncil.org/train-certify/certified-cloud-security-engineer-ccse/,Vendor-neutral cloud security engineering certification.,cloud,5,,1,,false
edrp,EC-Council Disaster Recovery Professional,EDRP,EC-Council,Incident Handling,intermediate,499,,240,3,,false,https://www.eccouncil.org/programs/disaster-recovery-professional-edrp/,Disaster recovery and business continuity certification.,ir;bcp,5,,1,,false
case-java,EC-Council Certified Application Security Engineer (Java),CASE Java,EC-Council,Software Security,intermediate,499,,180,3,,false,https://www.eccouncil.org/programs/certified-application-security-engineer-case-java/,Secure Java application development certification.,appsec;java;sdlc,5,,1,,false
case-net,EC-Council Certified Application Security Engineer (.NET),CASE .NET,EC-Council,Software Security,intermediate,499,,180,3,,false,https://www.eccouncil.org/programs/certified-application-security-engineer-case-net/,Secure .NET application development certification.,appsec;dotnet;sdlc,5,,1,,false
cdpo,Certified Data Protection Officer,CDPO,EC-Council,GRC,intermediate,499,,180,3,,false,https://www.eccouncil.org/programs/certified-data-protection-officer-cdpo/,Data protection and GDPR compliance certification.,privacy;grc,5,,1,,false
osee,OffSec Exploitation Expert,OSEE,OffSec,Exploitation,expert,,Bundle pricing varies; Learn One subscription required,4320,3,osed,false,https://www.offsec.com/courses/exp-401/,Advanced Windows exploit development covering bypassing modern mitigations.,exploit-dev;windows;hands-on,10,,1,,true
osai,OffSec AI Red Teamer,OSAI+,OffSec,Software Security,advanced,,Bundle pricing via Learn subscription,2880,3,,false,https://www.offsec.com/courses/ai-300/,AI red teaming certification covering attacks on machine learning systems and LLM applications.,ai;red-team;hands-on,5,,1,,true
osth,OffSec Threat Hunter,OSTH,OffSec,Cyber Threat Intelligence,intermediate,,Bundle pricing via Learn subscription,2880,3,,false,https://www.offsec.com/courses/th-200/,Threat hunting certification covering adversary tradecraft detection.,threat-hunting;blue-team;hands-on,5,,1,,true
osir,OffSec Incident Responder,OSIR,OffSec,Incident Handling,intermediate,,Bundle pricing via Learn subscription,2880,3,,false,https://www.offsec.com/courses/ir-200/,"Incident response certification covering containment, eradication and recovery.",ir;blue-team;hands-on,5,,1,,true
oscc-sec,OffSec CyberCore Security,OSCC-SEC,OffSec,Security & Risk Management,beginner,,Bundle pricing via Learn subscription,2880,3,,false,https://www.offsec.com/courses/sec-100/,Foundational cybersecurity certification covering core concepts and tradecraft basics.,foundational;hands-on,5,,1,,true
oscc-sjd,OffSec CyberCore Junior Defender,OSCC-SJD,OffSec,Security Operations,beginner,,Bundle pricing via Learn subscription,2880,3,,false,https://www.offsec.com/courses/sjd-100/,Foundational defensive cybersecurity certification for junior SOC and IT roles.,foundational;blue-team,5,,1,,false
klcp,Kali Linux Certified Professional,KLCP,OffSec,*nix,beginner,,Bundle pricing via Learn subscription,2880,3,,false,https://www.offsec.com/courses/pen-103/,Kali Linux operating system fundamentals and tooling certification.,linux;kali;foundational,5,,1,,false
trm-cfc,TRM Cryptocurrency Fundamentals,TRM-CFC,TRM Labs,Forensics,beginner,1000,,,,,false,https://www.trmlabs.com/certifications,Foundational TRM Labs course covering blockchain analysis and cryptocurrency tracing basics.,blockchain;crypto;foundational,5,,1,,false
trm-ci,TRM Certified Investigator,TRM-CI,TRM Labs,Forensics,intermediate,1100,,,,,false,https://www.trmlabs.com/certifications,Cryptocurrency investigation certification covering on-chain analysis workflows.,blockchain;crypto;investigation,5,,1,,false
trm-aci,TRM Advanced Crypto Investigator,TRM-ACI,TRM Labs,Forensics,advanced,1400,,,,,false,https://www.trmlabs.com/certifications,Advanced cryptocurrency investigation certification covering complex tracing and attribution.,blockchain;crypto;investigation;advanced,5,,1,,false
trm-ccs,TRM Certified Crypto Compliance Specialist,TRM-CCS,TRM Labs,GRC,intermediate,1100,,,,,false,https://www.trmlabs.com/certifications,"Cryptocurrency compliance certification covering AML, KYC and sanctions screening for digital assets.",blockchain;crypto;aml;compliance,5,,1,,false
trm-dfc,TRM Digital Forensics and Cryptocurrencies,TRM-DFC,TRM Labs,Forensics,intermediate,1100,,,,,false,https://www.trmlabs.com/certifications,Digital forensics certification focused on cryptocurrency artefacts and on-chain evidence handling.,blockchain;crypto;dfir,5,,1,,false
trm-css,TRM Crypto Seizure Specialist,TRM-CSS,TRM Labs,Forensics,advanced,1100,,,,,false,https://www.trmlabs.com/certifications,Cryptocurrency seizure and custody certification covering law-enforcement workflows.,blockchain;crypto;seizure;leo,5,Law enforcement only,1,,false
trm-cts,TRM Crypto Tax Specialist,TRM-CTS,TRM Labs,GRC,intermediate,1100,,,,,false,https://www.trmlabs.com/certifications,"Cryptocurrency taxation certification covering reporting, basis tracking and audit support.",blockchain;crypto;tax,5,,1,,false
pcnse,Palo Alto Networks Certified Network Security Engineer,PCNSE,Palo Alto Networks,Communication & Network Security,advanced,175,,80,2,,false,https://www.paloaltonetworks.com/services/education/certification,"Palo Alto Networks platform engineering certification covering PAN-OS configuration, deployment and troubleshooting.",networking;firewall,8,,1,,false
pccse,Prisma Certified Cloud Security Engineer,PCCSE,Palo Alto Networks,Cloud/SysOps,advanced,175,,80,2,,false,https://www.paloaltonetworks.com/services/education/certification,Cloud security engineering certification covering the Prisma Cloud platform.,cloud;casb;cnapp,7,,1,,false
fcp-nse4,Fortinet NSE 4 Network Security Professional,NSE 4,Fortinet,Communication & Network Security,intermediate,400,,105,2,,false,https://www.fortinet.com/training-certification,"FortiGate operator certification covering policy, routing and SD-WAN basics.",networking;firewall,7,,1,,false
fcp-nse5,Fortinet NSE 5 Network Security Analyst,NSE 5,Fortinet,Communication & Network Security,advanced,400,,75,2,fcp-nse4,false,https://www.fortinet.com/training-certification,"Analyst-level Fortinet certification covering FortiAnalyzer, FortiManager and FortiSIEM operations.",networking;blue-team,6,,1,,false
ccsa,Check Point Certified Security Administrator,CCSA,Check Point,Communication & Network Security,intermediate,250,,90,2,,false,https://training-certifications.checkpoint.com/,"Check Point gateway administration certification covering policy, NAT and identity awareness.",networking;firewall,7,,1,,false
cp-ccse,Check Point Certified Security Expert,CCSE,Check Point,Communication & Network Security,advanced,250,,90,2,ccsa,false,https://training-certifications.checkpoint.com/,"Advanced Check Point administration covering clustering, advanced VPN and performance tuning.",networking;firewall,6,,1,,false
cka,Certified Kubernetes Administrator,CKA,CNCF,Cloud/SysOps,intermediate,445,"Performance-based exam, two attempts",120,2,,false,https://www.cncf.io/training/certification/cka/,Hands-on Kubernetes operator certification with a live shell exam.,cloud;kubernetes;hands-on,9,,1,,true
cks,Certified Kubernetes Security Specialist,CKS,CNCF,Cloud/SysOps,advanced,445,"Performance-based exam, two attempts",120,2,cka,false,https://www.cncf.io/training/certification/cks/,"Hands-on Kubernetes security certification covering runtime, supply chain and cluster hardening.",cloud;kubernetes;hands-on,10,,1,,true
vcp-dcv,VMware Certified Professional - Data Center Virtualization,VCP-DCV,VMware,Asset Security,intermediate,250,,135,0,,false,https://www.vmware.com/learning/certification.html,"vSphere administration certification covering compute, storage and networking virtualisation.",virtualization;ops,6,,1,,false
jncia-junos,Juniper Networks Certified Associate Junos,JNCIA-Junos,Juniper,Communication & Network Security,beginner,200,,90,3,,false,https://www.juniper.net/us/en/training/certification.html,"Foundational Junos networking certification covering CLI, interfaces and basic routing.",networking,5,,1,,false
jncis-sec,Juniper Networks Certified Specialist Security,JNCIS-SEC,Juniper,Communication & Network Security,intermediate,300,,90,3,jncia-junos,false,https://www.juniper.net/us/en/training/certification.html,"Specialist Junos certification covering SRX firewall, IPsec and screen protection.",networking;firewall,5,,1,,false
splunk-cda,Splunk Certified Cybersecurity Defense Analyst,SCDA,Splunk,Security Operations,intermediate,130,,90,3,,false,https://www.splunk.com/en_us/training/certification-track/splunk-certified-cybersecurity-defense-analyst.html,"SOC analyst certification covering Splunk searches, dashboards and detection use cases.",siem;blue-team;soc,7,,1,,false
splunk-esa,Splunk Enterprise Security Certified Admin,SES,Splunk,Security Operations,advanced,130,,90,3,splunk-cda,false,https://www.splunk.com/en_us/training/certification-track/splunk-enterprise-security-certified-admin.html,"Splunk Enterprise Security administration certification covering correlation searches, notable events and risk-based alerting.",siem;blue-team;soc,6,,1,,false
